task,color,correctKey,trialType,iti
choice,red,j,choice,0.4
simple,blue,space,simple,0.4
simple,red,space,simple,0.4
choice,blue,f,choice,0.4
simple,red,space,simple,0.4
choice,red,j,choice,0.4
simple,blue,space,simple,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
choice,blue,f,choice,0.4
simple,red,space,simple,0.4
choice,red,j,choice,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
choice,red,j,choice,0.4
simple,red,space,simple,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
choice,red,j,choice,0.4
simple,red,space,simple,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
choice,red,j,choice,0.4
simple,red,space,simple,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
choice,blue,f,choice,0.4
simple,red,space,simple,0.4
choice,red,j,choice,0.4
simple,blue,space,simple,0.4
choice,blue,f,choice,0.4
simple,red,space,simple,0.4
choice,red,j,choice,0.4
simple,blue,space,simple,0.4
choice,red,j,choice,0.4
simple,red,space,simple,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
choice,blue,f,choice,0.4
simple,red,space,simple,0.4
choice,red,j,choice,0.4
simple,blue,space,simple,0.4
choice,blue,f,choice,0.4
simple,red,space,simple,0.4
choice,red,j,choice,0.4
simple,blue,space,simple,0.4
choice,blue,f,choice,0.4
simple,red,space,simple,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
choice,red,j,choice,0.4
choice,blue,f,choice,0.4
simple,red,space,simple,0.4
choice,red,j,choice,0.4
simple,blue,space,simple,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
choice,red,j,choice,0.4
simple,red,space,simple,0.4
choice,blue,f,choice,0.4
simple,red,space,simple,0.4
choice,red,j,choice,0.4
simple,blue,space,simple,0.4
choice,red,j,choice,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
choice,red,j,choice,0.4
simple,red,space,simple,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
choice,red,j,choice,0.4
simple,red,space,simple,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
choice,blue,f,choice,0.4
simple,red,space,simple,0.4
choice,red,j,choice,0.4
simple,blue,space,simple,0.4
choice,blue,f,choice,0.4
simple,red,space,simple,0.4
choice,red,j,choice,0.4
simple,blue,space,simple,0.4
choice,blue,f,choice,0.4
simple,red,space,simple,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
choice,red,j,choice,0.4
simple,red,space,simple,0.4
choice,red,j,choice,0.4
simple,blue,space,simple,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
choice,blue,f,choice,0.4
simple,red,space,simple,0.4
choice,red,j,choice,0.4
choice,blue,f,choice,0.4
simple,blue,space,simple,0.4
simple,red,space,simple,0.4
choice,red,j,choice,0.4
simple,blue,space,simple,0.4
