word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,,,,Congruent,Incongruent,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.008133416,0.015192165999906138,1.0334814580000966,0.9998145829999885,,,,,,,,,,,,,,,,599422,001,2025-08-23_15h30.59.532,stroop,,2025.1.1,None,2025-08-23 15h31.05.177333 +0530,,,,,,,,Descriptive Statistics,,,,,,,,,,,
RED,blue,I,b,0,0,0,b,1,11.91763375000005,None,0,0,0,1,1.0334814580000966,,,,,,1.0250133750000714,1.0334814580000966,1.4979342500000712,1.4979342500000712,1.4979342500000712,5.988309083000104,13.65134891599996,b,1,11.91763375000005,None,,,,,599422,001,2025-08-23_15h30.59.532,stroop,,2025.1.1,None,2025-08-23 15h31.05.177333 +0530,,,,,,,,,key_resp.rt,,,,,,,,,,
BLUE,blue,C,b,1,1,0,b,1,0.8725472080000145,None,0,1,1,3,13.668345332999934,,,,,,13.653934416000084,13.668345332999934,14.149794250000014,14.149794250000014,14.149794250000014,,15.035009916000035,b,1,0.8725472080000145,None,,,,,599422,001,2025-08-23_15h30.59.532,stroop,,2025.1.1,None,2025-08-23 15h31.05.177333 +0530,,,,,,,,,C,I,,,,,,,,,
BLUE,red,I,r,2,2,0,r,1,2.9075539579998804,None,0,2,2,2,15.045920540999987,,,,,,15.036054583000123,15.045920540999987,15.532785041000125,15.532785041000125,15.532785041000125,,18.45184246,r,1,2.9075539579998804,None,,,,,599422,001,2025-08-23_15h30.59.532,stroop,,2025.1.1,None,2025-08-23 15h31.05.177333 +0530,,,,0.8725472080000145,11.91763375000005,,,Valid,,20,,20,,,,,,,
RED,red,C,r,3,3,0,r,1,0.6396992499999214,None,0,3,3,0,18.46450774999994,,,,,,18.456034541000008,18.46450774999994,18.949627166000028,18.949627166000028,18.949627166000028,,19.601856833000056,r,1,0.6396992499999214,None,,,,,599422,001,2025-08-23_15h30.59.532,stroop,,2025.1.1,None,2025-08-23 15h31.05.177333 +0530,,,,0.6396992499999214,2.9075539579998804,,,Missing,,0,,0,,,,,,,
RED,red,C,r,4,0,1,r,1,0.5916615419998834,None,1,0,4,0,19.61205516600012,,,,,,19.602967125000077,19.61205516600012,20.09964996,20.09964996,20.09964996,,20.701925625000058,r,1,0.5916615419998834,None,,,,,599422,001,2025-08-23_15h30.59.532,stroop,,2025.1.1,None,2025-08-23 15h31.05.177333 +0530,,,,0.5916615419998834,1.0777576250000038,,,Mean,,0.563,,1.387,,,,,,,
BLUE,red,I,r,5,1,1,r,1,1.0777576250000038,None,1,1,5,2,20.71525537499997,,,,,,20.70666817,20.71525537499997,21.199635082999976,21.199635082999976,21.199635082999976,,22.285164500000064,r,1,1.0777576250000038,None,,,,,599422,001,2025-08-23_15h30.59.532,stroop,,2025.1.1,None,2025-08-23 15h31.05.177333 +0530,,,,0.8500173749998794,0.5773946249998971,,,Std. Deviation,,0.308,,2.606,,,,,,,
BLUE,blue,C,b,6,2,1,b,1,0.8500173749998794,None,1,2,6,3,22.29591570799994,,,,,,22.28626513,22.29591570799994,22.783375250000063,22.783375250000063,22.783375250000063,,23.635162332999926,b,1,0.8500173749998794,None,,,,,599422,001,2025-08-23_15h30.59.532,stroop,,2025.1.1,None,2025-08-23 15h31.05.177333 +0530,,,,1.6509059170000455,0.9578187909999087,,,Minimum,,0.243,,0.308,,,,,,,
RED,blue,I,b,7,3,1,b,1,0.5773946249998971,None,1,3,7,1,23.64872220799998,,,,,,23.64024670799995,23.64872220799998,24.132987749999984,24.132987749999984,24.132987749999984,,24.71864666600004,b,1,0.5773946249998971,None,,,,,599422,001,2025-08-23_15h30.59.532,stroop,,2025.1.1,None,2025-08-23 15h31.05.177333 +0530,,,,0.3685461249999662,3.23046875,,,Maximum,,1.651,,11.92,,,,,,,
BLUE,blue,C,b,8,0,2,b,1,1.6509059170000455,None,2,0,8,3,24.731930333000037,,,,,,24.723290749999933,24.731930333000037,25.21650912500013,25.21650912500013,25.21650912500013,,26.874070125000117,b,1,1.6509059170000455,None,,,,,599422,001,2025-08-23_15h30.59.532,stroop,,2025.1.1,None,2025-08-23 15h31.05.177333 +0530,,,,0.565814042,0.41801008299989917,,,,,,,,,,,,,,
